Brymbo,Wrecsam - Wrexham,v,53.0784,-3.0543
Brymbo Road,Wrecsam - Wrexham,r,53.0707,-3.0767
Brymbo Road,Newcastle-under-Lyme,r,53.0294,-2.2407
