Carlton-le-Moorland,North Kesteven,v,53.1118,-0.6469
Carlton Lane,West Lindsey,r,53.2847,-0.6109
Carlton Lane,West Carlton,r,53.8841,-1.6835
Carlton Lane,Sutton on Trent,r,53.1734,-0.8033
Carlton Lane,Rothwell,r,53.7451,-1.4836
Carlton Lane,Meols,r,53.3969,-3.1686
Carlton Lane,Lofthouse,r,53.7315,-1.4966
Carlton Lane,Liverpool,r,53.419,-2.9174
Carlton Lane,Helmsley,r,54.2484,-1.0595
Carlton Lane,Aldbrough,r,53.8284,-0.1209
