Much Hoole Town,South Ribble,a,53.6955,-2.8014
Much Hoole,South Ribble,v,53.7008,-2.8015
Much Lane,Lincoln,r,53.229,-0.5417
Mucky Lane,Barnsley,r,53.4936,-1.6058
Mucky Lane,Barnsley,r,53.5488,-1.4220
Mucky Lane,Calderdale,r,53.6761,-1.8529
Mucky Lane,East Riding of Yorkshire,r,53.7994,-0.1044
Mucky Lane,Hambleton,r,54.2407,-1.2730
Mucky Lane,Sheffield,r,53.4732,-1.6132
