Benomley,Kirklees,a,53.6348,-1.7552
Benomley Road,Huddersfield,r,53.6347,-1.7552
Benomley Drive,Huddersfield,r,53.6351,-1.7558
Benomley Crescent,Huddersfield,r,53.6355,-1.7570
