Station Town,County Durham,v,54.7208,-1.3709
Station Terrace,Tynemouth,r,55.0168,-1.4268
Station Terrace,Skelmanthorpe,r,53.595,-1.6536
Station Terrace,Leeds,r,53.8071,-1.6357
Station Terrace,Leadenham,r,53.0624,-0.5784
Station Terrace,Langthorpe,r,54.099,-1.3986
Station Terrace,Hucknall,r,53.0387,-1.1978
Station Terrace,Cotherstone,r,54.5666,-1.9809
Station Terrace,Blackpool,r,53.7954,-3.0500
Station Terrace,Allerton Bywater,r,53.7436,-1.3597
