Fur Lane,Oldham,a,53.539,-1.9982
Furbarn Lane,Rochdale,r,53.6211,-2.2149
Furbarn Lane,Rochdale,r,53.6244,-2.2133
Furbarn Road,Rochdale,r,53.6194,-2.2164
Furber Close,Tarporley,r,53.1548,-2.6688
Furber Street,Crewe,r,53.1016,-2.4422
Furberry Court,Lees,r,53.5352,-2.0488
Furlong Avenue,Arnold,r,53.0042,-1.1352
Furlong Close,Bamfurlong,r,53.5079,-2.6078
Furlong Close,Liverpool,r,53.4727,-2.9425
Furlong Court,Goldthorpe,r,53.524,-1.3113
Furlong Crescent,Blackpool,r,53.8363,-3.0162
Furlong Green,Thornton,r,53.8667,-2.9900
Furlong Lane,Derbyshire Dales,r,53.0401,-1.6485
Furlong Lane,Poulton-le-Fylde,r,53.8523,-2.9932
Furlong Lane,Staffordshire Moorlands,r,53.097,-1.8178
Furlong Lane,Stoke-on-Trent,r,53.042,-2.2032
Furlong Meadows,Brampton,r,53.5029,-1.3862
Furlong Parade,Stoke-on-Trent,r,53.0435,-2.2012
Furlong Passage,Stoke-on-Trent,r,53.0444,-2.1994
Furlong Road,Barnsley,r,53.5167,-1.2826
Furlong Road,Bolton Upon Dearne,r,53.523,-1.3133
Furlong Road,Stamford Bridge,r,53.9875,-0.9094
Furlong Road,Stoke-on-Trent,r,53.0639,-2.2063
Furlong Road,Wythenshawe,r,53.3799,-2.2777
Furlong Street,Arnold,r,53.0037,-1.1314
Furlong View,Harlington,r,53.5184,-1.2787
Furlongs Avenue,Norton-on-Derwent,r,54.129,-0.7758
Furmston Place,Leek,r,53.1134,-2.0109
Furnace Bank,Northumberland,r,55.1332,-1.5678
Furnace Close,Brymbo,r,53.0771,-3.0526
Furnace Close,Grassmoor,r,53.1977,-1.3998
Furnace Grove,Oakenshaw,r,53.7504,-1.7482
Furnace Hill Road,Clay Cross,r,53.1721,-1.4046
Furnace Hill,Sheffield,r,53.3861,-1.4728
Furnace Hillock Way,North East Derbyshire,r,53.211,-1.3992
Furnace Inn Street,Bradford,r,53.7883,-1.7194
Furnace Lane,Birkenshaw,r,53.7535,-1.6949
Furnace Lane,Hambleton,r,54.1992,-1.6018
Furnace Lane,Heanor,r,53.0263,-1.3668
Furnace Lane,Maryport,r,54.7138,-3.4978
Furnace Lane,Newcastle-under-Lyme,r,53.0041,-2.3442
Furnace Lane,North East Derbyshire,r,53.2753,-1.4760
Furnace Lane,Sheffield,r,53.3642,-1.3538
Furnace Place,Askam in Furness,r,54.1823,-3.2104
Furnace Road,Ilkeston,r,52.9635,-1.2897
Furnace Road,Maryport,r,54.7129,-3.4983
Furnace Road,Oakenshaw,r,53.7507,-1.7486
Furnace Road,Stoke-on-Trent,r,52.9801,-2.1225
Furnace Road,Wrecsam - Wrexham,r,53.0897,-3.0417
Furnace Street,Dukinfield,r,53.4836,-2.0914
Furnace Street,Hyde,r,53.4582,-2.0852
Furnall Avenue,Great Longstone,r,53.2398,-1.7011
Furnbrook Gardens,Kirkheaton,r,53.6537,-1.7290
Furndown Court,Lincoln,r,53.2122,-0.6110
Furne Road,Chester,r,53.2038,-2.9284
Furness Avenue,Ashton-under-Lyne,r,53.4976,-2.1124
Furness Avenue,Blackburn,r,53.7617,-2.4636
Furness Avenue,Blackpool,r,53.8307,-3.0152
Furness Avenue,Bolton,r,53.5923,-2.4114
Furness Avenue,Fleetwood,r,53.9091,-3.0388
Furness Avenue,Formby,r,53.558,-3.0609
Furness Avenue,Halifax,r,53.7475,-1.8949
Furness Avenue,Heywood,r,53.5994,-2.2251
Furness Avenue,Littleborough,r,53.6495,-2.1053
Furness Avenue,Liverpool,r,53.4429,-2.9033
Furness Avenue,Oldham,r,53.5275,-2.0858
Furness Avenue,Ormskirk,r,53.5634,-2.8864
Furness Avenue,Read,r,53.8043,-2.3511
Furness Avenue,St Helens,r,53.4688,-2.7528
Furness Avenue,Wakefield,r,53.7002,-1.5284
Furness Avenue,Whitefield,r,53.5489,-2.2870
Furness Close,Birkenhead,r,53.3888,-3.1102
Furness Close,Bishop Auckland,r,54.6502,-1.7038
Furness Close,Chorley,r,53.6418,-2.6227
Furness Close,Dinnington,r,53.3624,-1.2078
Furness Close,Glossop,r,53.4426,-1.9305
Furness Close,Holmes Chapel,r,53.2003,-2.3738
Furness Close,Kingston upon Hull,r,53.8094,-0.3243
Furness Close,Milnrow,r,53.6104,-2.1161
Furness Close,Peterlee,r,54.7598,-1.3560
Furness Close,Poynton,r,53.352,-2.1289
Furness Close,Sheffield,r,53.3984,-1.5369
Furness Close,Southport,r,53.5939,-3.0470
Furness Close,Winsford,r,53.186,-2.5420
Furness Court,Runcorn,r,53.3471,-2.6540
Furness Crescent,Halifax,r,53.7484,-1.8960
Furness Crescent,Leigh,r,53.5172,-2.5333
Furness Dene,Barnsley,r,53.571,-1.4449
Furness Drive,Halifax,r,53.7466,-1.8961
Furness Drive,High Bentham,r,54.1196,-2.5171
Furness Drive,Poulton-le-Fylde,r,53.8446,-2.9725
Furness Drive,Wakefield,r,53.7,-1.5277
Furness Drive,York,r,53.9833,-1.1148
Furness Gardens,Halifax,r,53.7457,-1.8947
Furness Grove,Halifax,r,53.7471,-1.8942
Furness Grove,Newcastle upon Tyne,r,54.9985,-1.6805
Furness Grove,Stockport,r,53.4092,-2.1895
Furness Lodge Close,Furness Vale,r,53.3503,-1.9879
Furness Park Road,Barrow-in-Furness,r,54.1277,-3.2174
Furness Place,Halifax,r,53.7438,-1.8933
Furness Quay,Salford,r,53.4722,-2.2837
Furness Road,Bolton,r,53.5808,-2.4585
Furness Road,Cheadle Hulme,r,53.36,-2.1781
Furness Road,Heysham,r,54.0579,-2.8893
Furness Road,High Green,r,53.4726,-1.5032
Furness Road,Manchester,r,53.4438,-2.2201
Furness Road,Middleton,r,53.5611,-2.1977
Furness Road,Nottingham,r,52.9827,-1.1901
Furness Road,Urmston,r,53.4537,-2.3481
Furness Road,Workington,r,54.6298,-3.5494
Furness Street,Burnley,r,53.8049,-2.2334
Furness Street,Darlington,r,54.5446,-1.5354
Furness Street,Hartlepool,r,54.6904,-1.2174
Furness Street,Lancaster,r,54.0521,-2.8121
Furness Street,Liverpool,r,53.4327,-2.9738
Furness Street,Millom,r,54.2084,-3.2610
Furness Vale,High Peak,v,53.3485,-1.9898
Furnessford Road,Lancaster,r,54.0997,-2.5568
Furniss Avenue,Sheffield,r,53.322,-1.5361
Furniss Court,Barton-upon-Humber,r,53.6825,-0.4547
Furniss Mews,Sheffield,r,53.3219,-1.5357
Furnival Close,Todwick,r,53.3522,-1.2624
Furnival Drive,Burscough,r,53.5983,-2.8497
Furnival Gate,Sheffield,r,53.3778,-1.4711
Furnival Road,Doncaster,r,53.5069,-1.1539
Furnival Road,Manchester,r,53.4645,-2.1808
Furnival Road,Sheffield,r,53.3866,-1.4591
Furnival Road,Todwick,r,53.3525,-1.2628
Furnival Street,Crewe,r,53.0884,-2.4442
Furnival Street,Leigh,r,53.5072,-2.5190
Furnival Street,Reddish,r,53.4481,-2.1584
Furnival Street,Sheffield,r,53.3768,-1.4687
Furnival Street,Stoke-on-Trent,r,53.036,-2.1848
Furnival Street,Worksop,r,53.2979,-1.1097
Furnival Way,Whiston,r,53.4086,-1.3127
Furnivall Street,Sandbach,r,53.1482,-2.3623
Furnwood,Haxby,r,54.0072,-1.0781
Furrocks Close,Neston,r,53.2789,-3.0552
Furrocks Lane,Neston,r,53.2788,-3.0557
Furrocks Way,Neston,r,53.2791,-3.0541
Furrow Drive,Eccles,r,53.4918,-2.3662
Furrow Drive,North Tyneside,r,55.0112,-1.5462
Furrow Grove,Northumberland,r,55.127,-1.6682
Further End Lane,Kirklees,r,53.5556,-1.8432
Further Ends Road,Freckleton,r,53.7512,-2.8670
Further Field,Bamber Bridge,r,53.7265,-2.6490
Further Field,Rochdale,r,53.6232,-2.2153
Further Heights Road,Rochdale,r,53.6266,-2.1600
Further Hey Close,Lees,r,53.5422,-2.0698
Further Lane,Hattersley,r,53.4523,-2.0278
Further Lane,Ribble Valley,r,53.7614,-2.5556
Further Pits,Rochdale,r,53.6161,-2.1783
Furtherfield,Bamber Bridge,r,53.7266,-2.6478
Furthergate,Blackburn,r,53.7495,-2.4596
Furtherwood Road,Oldham,r,53.5546,-2.1302
Furze Avenue,Westhoughton,r,53.5423,-2.5196
Furze Gardens,Nottingham,r,52.9639,-1.1424
Furze Lane,Oldham,r,53.5528,-2.0787
Furze Road,East Riding of Yorkshire,r,53.7701,-0.0435
Furze Street,Carlisle,r,54.8908,-2.9205
Furzefield Road,Newcastle upon Tyne,r,55.0032,-1.6272
Furzegate,Rochdale,r,53.5997,-2.1372
